Rank,Team,Conf,Region,Rating,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Poll_Index
60,Dubuque,ARC,5,16.77574650987638,3.28975662036271,1,0,1,1,0,-0.5977180432322123,-0.182361760024781,-0.019687448402383567,0,1,0,1,0,0,0.42493883879974237
61,UW-Stevens Point,WIAC,6,8.539884166910342,-11.792292332692604,0.8858277113395829,0,0,1,0,0.0317789419746175,0.24151971807567785,0.6745181249344689,1,0,1,0,0,0,0.42183361618340137
62,Lewis and Clark,NWC,6,7.281266091062898,-1.1630342073775282,0.9913962958370979,0,1,1,0,0.0012111585982312878,0.03011992027287813,0.23416837575286287,1,0,1,0,1,0,0.3606022831716355
63,Cal Lutheran,SCIAC,6,5.109862607168627,-15.925651411031566,0.8874700273724294,0,0,1,0,0.031173687648259563,0.23886103636549727,0.6714335480333447,1,0,1,0,0,0,0.35656159658619024
64,Ohio Wesleyan,NCAC,4,9.141886919957935,-4.406387889151219,0.9960258206751524,0,1,1,0,4.75068275920254e-4,0.015736366334819785,0.15933426078562274,1,0,1,0,0,0,0.3452572195866187
65,Mount St. Joseph,HCAC,4,6.83778743413977,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.3298538304817904
66,Calvin,MIAA,4,0.37022280648716455,10.080824401892812,0.9999979886256269,0,1,1,0,7.170016436131021e-8,2.0042267742437225e-5,0.0015727672801915116,1,0,1,0,0,0,0.326924177654776
67,Cortland,E8,2,27.612571983217787,-10.84987464906295,1,0,0,1,0,-0.6011773239085454,-0.1847392848292606,-0.02011903252570013,0,1,0,1,0,0,0.3196915017632611
68,Franklin and Marshall,CC,2,15.118801379425225,-16.61204589719651,0.9559866853096604,0,0,1,0,0.009223168962740225,0.11454840973463898,0.48052239929345464,1,0,1,0,0,0,0.3056939899323565
69,Augustana,CCIW,5,6.199489176248084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.2990624191687954
70,Howard Payne,ASC,3,6.111450266400128,-15.44619985106284,0.9335755175714813,0,0,1,0,0.015635935061302897,0.15871579721781426,0.561233109688616,1,0,1,0,0,0,0.2698904061910099
71,N.C. Wesleyan,USAC,3,-0.587724736461509,1.827024704744538,0.9993505356936694,0,1,1,0,5.5124912921700187e-5,0.0033338084631175935,0.05947943470820782,1,0,1,0,0,0,0.2698478351779956
72,Ithaca,LL,2,22.170073750256254,-16.91110799454972,1,0,0,1,0,-0.4760013731475371,-0.11236658441159308,-0.00894506547770102,0,1,0,1,0,0,0.26682162178161856
73,Muskingum,OAC,4,5.429410175042305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.26191392475186215
74,Franklin,HCAC,4,-4.592240642827651,-12.738430656038577,0.8971152329312042,0,0,1,0,0.027687737474641372,0.22300842418144573,0.6523873386946932,1,0,1,0,0,0,0.2548036263140074
75,Wilkes,LAND,2,6.2565586827341,-20.440609547925607,0.9335292980638117,0,0,1,0,0.01565000411213946,0.15880254532572424,0.5613743805251292,1,0,1,0,0,0,0.24009000296873687
76,Aurora,NACC,5,20.49484628161261,-24.78862778619263,1,0,0,1,0,-0.34880228102753563,-0.061487939607144604,-0.0035062676992003716,0,1,0,1,0,0,0.23639800308398978
77,Eastern,MAC,1,0.5635032028346383,-6.4958406650989815,0.99822951917963465,0,1,1,0,1.8052198808482522e-4,0.00790682292635947,0.10395338169076773,1,0,1,0,0,0,0.2345851412683005
78,Southwestern,SAA,3,4.3591053973888085,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.21028258433766844
79,Tufts,NESCAC,1,4.047613983450922,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1952562856936646
80,Belhaven,USAC,3,7.3885789581474395,-9.163397802740661,0.9879039277846686,0,0,1,0,0.0018380356426042077,0.0399856814060745,0.2752516536137346,1,0,1,0,0,0,0.19317760231987446
