Rank,Poll_Index,Team,Conf,Region,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Rating
91,NA,Augustana,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6.02270726374547
92,NA,Carroll,CCIW,5,-34.750656284901,1,0,0,0,1,-0.9300485252917259,-0.6263896988045811,-0.20283438367548623,0,1,0,1,0,0,5.785543396931278
93,NA,UW-Stevens Point,WIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,5.606010606735833
94,NA,Muskingum,OAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,5.314874643932425
95,NA,Ohio Wesleyan,NCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,5.283123484587817
96,NA,Pacific,NWC,6,-25.072302567486883,1,0,0,1,0,-0.9602145402688356,-0.725525238715496,-0.28961453209026655,0,1,0,1,0,0,4.857084630921433
97,NA,Mass-Dartmouth,MASCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4.802496837299486
98,NA,King's,MAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4.462178473893696
99,NA,Gustavus Adolphus,MIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4.386197571429108
100,NA,Southwestern,SAA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4.119570342953889
101,NA,Redlands,SCIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3.4983305928789785
102,NA,Hendrix,SCAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3.2745697854484153
103,NA,Lewis and Clark,NWC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2.8429994938567447
104,NA,Cal Lutheran,SCIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2.5910701639097384
105,NA,Dickinson,CC,2,-10.50009316249282,1,0,0,1,0,-0.6680190674016314,-0.23594836116335993,-0.030517450168080495,0,1,0,1,0,0,1.7458422396590925
106,NA,TCNJ,NJAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.0735224231258595
107,NA,Western New England,CNE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.9616846927953658
108,NA,Rose-Hulman,HCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.8290541714268345
109,NA,George Fox,NWC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.7992763832106091
110,NA,North Park,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.6208648605785281
111,NA,St. Olaf,MIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.5049218096785537
112,NA,Brevard,USAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.3040739138467524
113,NA,Merchant Marine,NEWMAC,1,-18.413505662101215,0.9811355932039503,0,0,1,0,0.0031039655192237614,0.05673974843192231,0.3339982599207034,1,0,1,0,0,0,-0.27183399174242195
